page_num,student_id
SOM 356,142115
SOM 357,142116
SOM 357,142120
SOM 358,142129
SOM 358,142142
SOM 359,142160
SOM 359,142161
SOM 360,142165
SOM 360,142180
SOM 361,142186
SOM 361,142213
SOM 362,142221
SOM 362,142223
SOM 363,142227
SOM 363,142229
SOM 364,132262
SOM 364,112210
SOM 365,142271
SOM 365,142276
SOM 366,142297
SOM 366,132308
SOM 367,144926
SOM 367,142317
SOM 368,142319
SOM 368,142340
SOM 369,142351
SOM 369,142357
SOM 370,142364
SOM 370,132420
SOM 371,132424
SOM 371,142419
SOM 372,142424
SOM 372,142430
SOM 373,142435
SOM 373,142434
SOM 374,142476
SOM 374,142479
SOM 375,142537
SOM 375,142603
SOM 376,142631
SOM 376,142681
SOM 377,142688
SOM 377,142693
SOM 378,142705
SOM 378,122788
SOM 379,142840
SOM 379,142851
SOM 380,142852
SOM 380,145128
SOM 381,142864
SOM 381,145278
SOM 382,142869
SOM 382,144584
SOM 383,142903
SOM 383,142904
SOM 384,142922
SOM 384,142933
SOM 385,142937
SOM 385,142947
SOM 386,133126
SOM 386,143065
SOM 387,143079
SOM 387,143101
SOM 388,133172
SOM 388,143127
SOM 389,143139
SOM 389,143168
SOM 390,143182
SOM 390,143210
SOM 391,143225
SOM 391,143229
SOM 392,133330
SOM 392,143231
SOM 393,143243
SOM 393,143317
SOM 394,144954
SOM 394,143346
SOM 395,133460
SOM 395,133485
SOM 396,143395
SOM 396,143407
SOM 397,143454
SOM 397,143521
SOM 398,143559
SOM 398,143577
SOM 399,143582
SOM 399,143612
SOM 400,143631
SOM 400,143639
SOM 401,143651
SOM 401,143655
SOM 402,143663
SOM 402,143708
SOM 403,143714
SOM 403,143715
SOM 404,144728
SOM 404,143763
SOM 405,143771
SOM 405,144962
SOM 406,143835
SOM 406,145241
SOM 407,143842
SOM 407,143855
SOM 408,133929
SOM 408,143908
SOM 409,143919
SOM 409,143922
SOM 410,143925
SOM 410,143943
SOM 411,143945
SOM 411,143974
SOM 412,143991
SOM 412,144013
SOM 413,144016
SOM 413,144030
SOM 414,145169
SOM 414,144063
SOM 415,144068
SOM 415,144894
SOM 416,144082
SOM 416,145173
SOM 417,144109
SOM 417,144114
SOM 418,144126
SOM 418,144971
SOM 419,144145
SOM 419,144178
SOM 420,144184
SOM 420,144202
SOM 421,144203
SOM 421,144216
SOM 422,144223
SOM 422,144228
SOM 423,144230
SOM 423,144256
SOM 424,144271
SOM 424,144355
SOM 425,144358
SOM 425,145182
SOM 426,144367
SOM 426,144831
SOM 427,145270
SOM 427,144400
SOM 428,144418
SOM 428,144447
SOM 429,144448
SOM 429,144475
SOM 430,144477
SOM 430,144753
SOM 433,144655
SOM 433,142114
SOM 434,142478
SOM 434,142939
SOM 435,142943
SOM 435,143288
SOM 436,143424
SOM 436,143920
SOH 8,145208
SOH 8,141445
SOH 9,144915
SOH 9,144991
SOH 10,141800
SOH 10,142880
SOH 23,140017
SOH 23,145016
SOH 24,144755
SOH 24,144757
SOH 25,130118
SOH 25,144978
SOH 26,130182
SOH 26,145026
SOH 27,140272
SOH 27,130302
SOH 28,144762
SOH 28,145033
SOH 29,140344
SOH 29,130437
SOH 30,140477
SOH 30,130481
SOH 31,145040
SOH 31,144981
SOH 32,134828
SOH 32,144645
SOH 33,144767
SOH 33,140809
SOH 34,145051
SOH 34,135016
SOH 35,140988
SOH 35,141102
SOH 36,141148
SOH 36,141180
SOH 37,131240
SOH 37,124601
SOH 38,124644
SOH 38,144661
SOH 39,141439
SOH 39,131473
SOH 40,134855
SOH 40,131516
SOH 41,141548
SOH 41,145079
SOH 42,124658
SOH 42,141635
SOH 43,141640
SOH 43,145084
SOH 44,145085
SOH 44,144916
SOH 45,145092
SOH 45,145093
SOH 46,145094
SOH 46,134870
SOH 47,134655
SOH 47,145101
SOH 48,133078
SOH 48,145110
SOH 49,122171
SOH 49,142178
SOH 50,135038
SOH 50,145251
SOH 51,82163
SOH 51,122347
SOH 52,144928
SOH 52,134886
SOH 53,134888
SOH 53,134986
SOH 54,144685
SOH 54,142496
SOH 55,142516
SOH 55,145223
SOH 56,142598
SOH 56,132657
SOH 57,134893
SOH 57,142644
SOH 58,142663
